order,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,p-value,fold-change,CD
1,'EGR1',11.043,11.263,10.809,11.448,11.3,11.483,11.448,11.236,11.973,12.019,11.957,11.861,12.125,11.483,11.957,12.192,11.065,11.601,12.318,11.448,11.473,12.125,12.1,11.812,12.243,11.392,0.19468,1.0221,0.43654
2,'FOS',10.277,9.8619,9.8398,9.735,10.157,9.4271,9.6719,10.042,9.8549,9.8212,9.8693,10.004,9.7735,9.6176,9.735,9.7818,9.9906,10.246,9.3864,9.3658,9.6028,9.393,9.4465,10.525,9.7818,9.2555,0.29094,0.98417,0.31005
3,'JUN',12.504,12.481,12.526,12.354,12.339,12.691,12.594,12.658,12.389,12.658,12.223,11.716,12.16,12.658,12.526,12.481,12.364,12.297,12.212,12.658,12.243,12.354,12.389,9.3104,12.354,12.307,0.042647,0.95185,0.24272
4,'ZFP36',6.4963,6.4695,5.823,6.3342,5.9934,6.4474,6.4963,6.5621,6.536,6.5187,6.4344,6.9072,7.0474,6.7244,7.0199,6.6623,6.2786,6.4746,6.6585,6.7799,6.306,6.6546,6.8405,7.0434,6.5814,6.4619,0.40712,1.0176,0.21835
5,'GADD45B',8.8047,8.7521,9.012,9.0021,9.0796,8.7975,8.4469,8.9282,9.026,8.926,9.1923,9.1177,9.6444,8.8896,8.9136,9.0871,9.1369,8.9887,9.0871,8.5689,8.7935,8.934,8.9515,9.1448,8.9378,8.7546,0.63712,0.99435,0.18306
6,'EDN1',7.2121,7.0669,7.0076,7.2567,7.0669,7.3093,7.1519,7.0708,7.6538,7.6538,7.5198,7.0957,7.3906,6.9566,7.4197,7.6748,7.2029,7.0568,7.7872,7.079,7.3705,7.7079,7.7993,7.2622,7.7915,7.0038,0.11503,1.0285,0.17844
7,'IER3',4.858,4.6256,4.9841,4.3425,5.2318,4.2853,4.858,4.6974,5.1946,5.1683,4.8262,4.8498,5.0354,4.9718,4.8364,4.5197,4.7926,4.7194,5.0573,4.5197,4.8313,4.9087,4.9886,4.5595,5.012,4.6044,0.99142,0.99973,0.15602
8,'FOSL1',4.8262,4.9155,4.5118,4.6509,4.6349,4.5679,4.858,5.0194,4.5197,4.5903,4.7389,4.351,4.453,4.7389,4.6164,4.6509,4.3595,4.6349,4.5974,4.9966,4.7043,4.6429,4.6744,4.4981,4.5974,4.9638,0.82913,1.004,0.14401
9,'CEBPD',12.481,12.047,12.594,12.178,12.318,12.243,12.269,12.08,12.526,12.691,12.436,12.619,12.461,12.354,12.619,12.594,12.389,12.223,12.339,12.258,12.576,12.691,12.619,12.1,12.212,12.347,0.68633,1.0031,0.11582
10,'MYC',6.5621,6.3031,6.4746,6.9487,6.7474,6.7207,6.9689,6.8864,6.7897,7.3093,6.8996,7.0348,7.466,7.4159,7.098,7.3954,7.063,6.8056,7.2907,7.4432,6.9112,7.2249,7.3133,7.2402,6.9522,7.4523,0.18047,1.0288,0.10785
11,'TARBP1',10.062,9.4465,9.8263,9.7977,9.7001,9.8212,9.8832,7.7141,9.9179,6.135,9.6444,9.4299,9.4115,9.9322,9.6745,9.5522,10.025,9.877,10.074,9.877,9.6524,9.8931,9.1941,9.4166,9.81,10.195,0.6111,1.0214,0.10258
12,'RNF167',11.249,11.209,10.918,10.971,11.065,11.204,11.362,11.249,10.931,10.869,10.839,10.881,10.902,11.68,11.119,11.033,11.022,11.008,10.629,11.556,11.075,10.681,10.985,11.209,10.545,11.836,0.83547,0.9973,0.10069
13,'TSPAN4',4.5903,6.4391,4.5679,5.5088,6.8005,4.9797,4.8101,4.7926,5.221,6.135,4.4318,4.6164,4.7754,4.6672,5.625,4.8313,4.5197,4.8971,4.7119,4.4794,5.1363,6.5086,4.8101,10.209,4.6164,4.6906,0.10132,1.1825,0.091165
14,'FKBP14',4.7866,4.5833,4.1191,5.1683,4.453,3.9675,4.2194,3.9146,4.0139,4.1759,4.2853,4.5595,4.2853,5.1729,4.2288,3.9543,4.3317,4.3209,4.5276,4.3894,4.3025,4.085,4.1971,4.3718,4.1865,4.3425,0.40872,0.97135,0.088935
15,'MFSD10',3.8116,5.3407,5.5963,4.2528,5.3511,5.3551,5.7945,5.1858,5.9075,5.6298,5.6821,5.9221,5.4534,4.0635,5.7945,5.5386,5.3803,5.3803,6.2664,5.634,5.6203,6.2932,6.1617,5.6938,5.7599,5.3511,0.11224,1.0832,0.088931
17,'DNAJB1',4.858,4.7986,4.9362,4.6599,5.4172,4.8262,4.858,4.6974,4.6349,4.4981,4.6164,4.7866,4.5049,4.3894,4.5833,7.8376,5.0046,4.5415,4.7866,4.6554,5.0624,4.3209,4.4744,4.6825,5.4046,4.2194,0.53289,0.95903,0.087422
22,'RGS2',6.3503,6.254,5.2837,5.755,6.6262,5.8825,6.4391,5.8663,5.9369,6.8802,6.1768,5.7469,5.8098,5.823,5.4787,5.6821,6.2329,6.536,5.4006,5.592,5.7647,5.4172,5.1414,5.7509,5.7845,6.2204,0.12832,0.94859,0.085669
23,'TRIB1',8.3153,8.0259,8.5689,8.4577,8.2088,7.8266,8.1649,8.3933,8.4116,8.606,8.7057,8.7546,8.926,7.982,8.6339,8.8713,9.1959,8.4497,8.926,8.0013,8.2745,8.9136,9.0511,8.5222,8.8457,8.0481,0.43465,1.0163,0.083451
25,'UBQLN2',6.184,4.4887,6.1165,4.8662,6.2287,4.6906,4.0635,4.2194,6.2967,5.7945,5.4172,5.8942,4.6104,5.6512,5.8619,4.2083,5.0573,4.2631,4.8777,4.2194,5.0945,4.6974,6.2287,4.3025,4.1446,4.5762,0.40542,0.93985,0.080242
26,'TIPARP',6.5814,6.1165,6.1266,6.356,6.2862,6.1407,5.1363,7.3035,6.3394,5.7647,6.1874,5.8017,6.2497,5.4341,5.5386,5.3678,6.3735,5.9999,5.2263,5.2033,5.8135,5.5129,5.2156,5.7168,5.7918,5.6298,0.12839,0.93922,0.079686
27,'VGLL4',5.3865,10.166,11.107,10.583,10.694,10.034,10.253,10.209,10.736,10.525,10.535,10.525,10.656,10.557,10.918,10.716,10.809,10.418,11.091,10.393,10.82,10.565,10.531,10.284,10.694,10.295,0.66765,1.0209,0.076441
28,'P4HTM',3.7638,4.3718,3.2405,3.7866,3.8116,4.0285,4.453,3.2405,3.5776,3.8116,3.6397,3.7182,3.741,3.741,3.5776,5.2156,3.8334,4.0949,3.6086,3.7866,3.7991,3.6676,3.4543,5.1135,3.6397,3.8836,0.74081,1.0193,0.07575
29,'STUB1',4.9841,5.221,5.2373,5.4211,5.2633,5.1817,3.7866,5.0945,4.9087,5.3935,5.1775,5.2837,5.1566,5.2571,5.3224,3.2405,5.4026,5.0354,5.7378,5.4109,5.3865,5.3865,5.5129,3.5776,5.3162,5.0822,0.91047,0.99366,0.075063
